STN,YYYYMMDD,DDVEC,FHVEC,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH,   TX,  TXH, T10N,T10NH,   SQ,   SP,    Q,   DR,   RH,  RHX, RHXH,   PG,   PX,  PXH,   PN,  PNH,  VVN, VVNH,  VVX, VVXH,   NG,   UG,   UX,  UXH,   UN,  UNH, EV24
  210,20141115,  171,   13,   25,   60,   16,   10,    6,  110,   16,   96,   60,   23,  108,   17,   37,   24,    0,    0,   86,   99,  116,   26,   15,10012,10030,    1, 9992,   13,   21,    5,   70,   16,    8,   96,   98,    1,   82,   17,    1
  210,20141116,  181,   12,   16,   40,   19,    0,    4,   60,   19,   84,   66,    5,   96,   14,   54,    6,    0,    0,   94,  165,   89,    9,   19,10002,10020,    1, 9988,   16,   16,    8,   63,   14,    8,   97,   98,    4,   95,    1,    1
  210,20141117,  108,   35,   37,   50,   12,   30,    1,   80,   11,   94,   75,    5,  116,   14,   69,    6,   17,   19,  314,    3,    2,    1,   20,10043,10086,   23, 9997,    1,   26,    1,   75,   13,    8,   89,   98,    2,   77,   14,    5
  210,20141118,   70,   35,   35,   50,    8,   20,    2,   90,    8,   79,   69,    2,   89,    1,   51,    6,    0,    0,  108,    0,   -1,   -1,   10,10117,10152,   24,10086,    1,   39,   10,   60,    1,    8,   92,   97,    2,   88,   20,    1
  210,20141119,   80,   19,   21,   30,    2,   10,   17,   60,    1,   83,   69,   24,   90,   12,   58,   24,    0,    0,   86,    0,    0,    0,    1,10214,10262,   24,10156,    1,   50,    5,   64,   11,    8,   88,   93,   23,   83,   11,    1
  210,20141120,  105,   33,   34,   50,   22,   20,    1,   90,   22,   70,   63,   24,   77,   12,   56,    6,    0,    0,  125,    0,    0,    0,    1,10267,10275,   10,10259,   24,   46,   22,   57,    6,    8,   88,   91,    2,   84,    4,    2
  210,20141121,   95,   41,   43,   50,    7,   30,    2,   90,   23,   56,   27,    8,   77,   15,   20,   12,   67,   79,  477,    0,   -1,   -1,   23,10217,10256,    1,10181,   23,   43,    7,   64,   18,    3,   86,   94,    8,   80,   13,    6
  210,20141122,  135,   28,   31,   50,    3,   10,   16,   90,    3,   87,   46,    4,  126,   14,   40,    6,   37,   44,  368,    0,   -1,   -1,    3,10164,10180,    1,10156,   13,   57,   24,   64,   13,    7,   89,   97,   24,   79,   12,    5
  210,20141123,  169,    1,   33,   70,   20,   20,    1,  120,   22,  109,   88,   24,  139,   14,   77,   12,   29,   34,  335,   55,   57,   17,   23,10155,10178,   24,10133,   15,   27,   21,   67,   13,    7,   93,   98,    6,   84,   12,    5
  210,20141124,  300,   25,   28,   60,    2,    0,   20,  100,    2,   69,    5,   24,  110,   11,  -19,   24,   43,   51,  354,   15,   16,    6,    2,10248,10276,   22,10187,    1,   15,   21,   80,    5,    3,   83,   98,   21,   65,    5,    5
  210,20141125,   82,   28,   29,   50,   14,    0,    1,   90,   16,   40,  -11,    7,   84,   14,  -35,   12,   36,   43,  313,    0,    0,    0,    1,10239,10270,    1,10191,   24,    2,    3,   75,   16,    3,   91,  100,    3,   80,   16,    4
  210,20141126,  109,   44,   46,   60,    9,   30,   20,  100,    9,   50,   30,    5,   61,   17,   23,    6,    2,    2,  205,   11,    8,    6,   20,10137,10183,    1,10097,   24,    7,   24,   60,   10,    7,   89,  100,   24,   82,   11,    3
  210,20141127,  124,   41,   42,   50,    8,   30,    2,   90,   19,   74,   61,    1,   87,   15,   62,    6,    0,    0,  104,   24,    9,    4,   16,10069,10092,    1,10057,   15,    7,    4,   59,   14,    8,   95,   99,    4,   88,   15,    1
  210,20141128,  102,   56,   57,   60,    2,   50,    1,  110,    7,   68,   44,   24,   89,   13,   41,   24,    3,    4,  175,     ,     ,     ,     ,10084,10121,   24,10060,    1,   21,    7,   59,   12,    7,   87,   98,    7,   81,   23,    2
  210,20141129,  104,   48,   49,   60,    1,   30,    6,  100,    1,   32,   13,    6,   55,   13,    3,    6,   63,   77,  391,    0,   -1,   -1,   20,10142,10157,   19,10121,    1,   17,   24,   58,    1,    3,   88,   96,   23,   80,   12,    5
  215,20141115,  163,   12,   22,   50,   16,   10,    6,  110,   16,   95,   60,   23,  107,   14,   47,   24,    0,    0,   84,  106,  113,   22,    6,10012,10030,    1, 9991,   16,    4,   23,   70,   16,    8,   96,   98,    4,   87,   17,    1
  215,20141116,  173,   11,   18,   30,   18,   10,    3,   50,   19,   83,   60,    5,   96,   15,   52,    6,    0,    0,   93,  174,   80,    7,    7,10003,10021,    1, 9988,   17,    8,    4,   56,   13,    8,   97,   99,    4,   95,   13,    1
  215,20141117,  109,   34,   36,   50,   11,   30,    1,   90,   11,   94,   73,    5,  118,   14,   67,    6,   19,   22,  319,    0,   -1,   -1,   19,10043,10086,   23, 9997,    1,   24,    1,   75,   13,    8,   88,   97,    2,   77,   14,    5
