"Year"	"Model 1"	"Model 2"	"Model 3"	"Model 4"	"Model 5"	"Model 6"
"1"	1981	0.0553171416434731	0.0549068366605265	0.0552731966252054	0.0538725421931819	0.0538725421931819	0.0527810538911819
"2"	1982	0.0950134026749496	0.0945486828937203	0.095991606083205	0.0918591634306925	0.0918591634306925	0.0911876737578166
"3"	1983	0.133979134080874	0.130539135111019	0.132002934133786	0.128285877849398	0.128285877849398	0.125245340682177
"4"	1984	0.160337835137868	0.155778069821498	0.158874823226252	0.149990228674897	0.149990228674897	0.149859024193544
"5"	1985	0.187882114929799	0.180763655556651	0.184859747923349	0.174483640985168	0.174483640985168	0.173610341795818
"6"	1986	0.215443028299612	0.210863127249496	0.214662011543616	0.199586911034583	0.199586911034583	0.201224358732446
"7"	1987	0.224689932980985	0.220044206374318	0.223862700967993	0.207319920771904	0.207319920771904	0.210747591196485
"8"	1988	0.251123623563549	0.241946680302493	0.245456850631364	0.232507104364381	0.232507104364381	0.231914900794627
"9"	1989	0.259679749965651	0.251567658970856	0.255030763383557	0.239161510965258	0.239161510965258	0.239399261103413
"10"	1990	0.278090529236231	0.267400468650711	0.269700060237745	0.256708281082495	0.256708281082495	0.253879314752371
"11"	1991	0.290778136895088	0.278957938022375	0.28074482031273	0.268021302480111	0.268021302480111	0.264454886627563
"12"	1992	0.304021788276177	0.2931071024642	0.293794650021233	0.279926383527949	0.279926383527949	0.275626660809105
"13"	1993	0.335368373970173	0.322141883742604	0.322139301316791	0.310627914966141	0.310627914966141	0.301974637852564
"14"	1994	0.355323875542376	0.340271528093934	0.339411646284039	0.330153648433329	0.330153648433329	0.3195443834047
"15"	1995	0.385855185105968	0.370847189757809	0.370136311604961	0.357664234594779	0.357664234594779	0.347628800659686
"16"	1996	0.397696691780558	0.380377006683865	0.378199445172182	0.368477098259744	0.368477098259744	0.356149890685693
"17"	1997	0.406852399370919	0.392512801906057	0.391790972217545	0.37887151039683	0.37887151039683	0.370071890028387
"18"	1998	0.420474097310797	0.408925850032655	0.408656310013585	0.392339167175683	0.392339167175683	0.3866520699277
"19"	1999	0.417201398483375	0.410831607012988	0.410092452669585	0.387833088813343	0.387833088813343	0.388896273254492
"20"	2000	0.425774024114315	0.422578953054345	0.421154280446642	0.396222098667083	0.396222098667083	0.400570700436107
"21"	2001	0.438168392902946	0.4335855375423	0.433699801673948	0.409373903975292	0.409373903975292	0.41299293375789
"22"	2002	0.453736008351222	0.450683855253902	0.450317997996946	0.424412020515372	0.424412020515372	0.42914580719903
"23"	2003	0.47353495387926	0.466725556700324	0.466943535895139	0.445453633961619	0.445453633961619	0.445756160211953
"24"	2004	0.483008296567078	0.47433152363859	0.475031276246069	0.455080673953089	0.455080673953089	0.452290086603042
"25"	2005	0.495028954706027	0.488204448134838	0.489087236778113	0.469490245909538	0.469490245909538	0.467084679470908
"26"	2006	0.521749523209614	0.511506641615391	0.511051656456015	0.493528869376403	0.493528869376403	0.485223410948795
