"year"	"mpg"	"cafe"
"1"	1980	22.8883629089747	20
"2"	1981	25.2691810686013	22
"3"	1982	26.9698258866655	24
"4"	1983	28.2768683399594	26
"5"	1984	28.5703096459255	27
"6"	1985	28.9431999664307	27.5
"7"	1986	29.2166666368238	26
"8"	1987	28.9289036351581	26
"9"	1988	28.7585664645775	26
"10"	1989	28.5326164307133	26.5
"11"	1990	28.3168931553665	27.5
"12"	1991	28.3359797290854	27.5
"13"	1992	28.1470978627751	27.5
"14"	1993	28.3147708135064	27.5
"15"	1994	28.0928572109767	27.5
"16"	1995	28.0831999835968	27.5
"17"	1996	28.5549355719734	27.5
"18"	1997	28.4242424242424	27.5
"19"	1998	28.0214285662609	27.5
"20"	1999	27.7734831477819	27.5
"21"	2000	27.8849173222692	27.5
"22"	2001	27.8493927229754	27.5
"23"	2002	27.7286266791751	27.5
"24"	2003	27.8924796775105	27.5
"25"	2004	27.7855218444208	27.5
"26"	2005	27.6273751972954	27.5
"27"	2006	27.1145105228557	27.5
