"year"	"mfr"	"nameplate"	"hp"	"torque"	"mpg"	"fuel"	"curbwt"	"d_truck"	"d_super"	"d_turbo"	"d_diesel"	"d_manual"	"outlier"	"accel"	"lmpg"	"lcurbwt"	"lhp"	"ltorque"	"lhp2"	"lcurbwt2"	"ltorque2"	"lcurbwt_lhp"	"lcurbwt_ltorque"	"lhp_ltorque"	"base"	"rgasp"	"cafe_car"	"cafe_tr"	"time_d_manual"
"1"	1980	"HONDA"	"CIVIC"	67	107	38.9000015258789	"G"	1780	0	0	0	0	1	0	12.2827043533325	3.66099429130554	7.48436880111694	4.20469284057617	4.67282867431641	17.6794414520264	56.0157775878906	21.8353271484375	31.4694709777832	34.9731750488281	19.6478099822998	1	0	0	0	1
"2"	1981	"HONDA"	"CIVIC"	67	106.699996948242	37.0999984741211	"G"	1962	0	0	0	0	1	0	13.2452526092529	3.61361694335938	7.58171987533569	4.20469284057617	4.67002105712891	17.6794414520264	57.4824752807617	21.8090972900391	31.8788032531738	35.4067916870117	19.6360034942627	1	0	0	0	2
"3"	1982	"HONDA"	"CIVIC"	60	92.1999969482422	46.0999984741211	"G"	1761	0	0	0	0	1	0	13.2685289382935	3.83081293106079	7.47363710403442	4.09434461593628	4.52396011352539	16.7636585235596	55.8552513122559	20.466215133667	30.599645614624	33.8104362487793	18.5226516723633	1	0	0	0	3
"4"	1983	"HONDA"	"CIVIC"	60	92.1999969482422	49.4000015258789	"G"	1773	0	0	0	0	1	0	13.338547706604	3.89995050430298	7.48042821884155	4.09434461593628	4.52396011352539	16.7636585235596	55.9568061828613	20.466215133667	30.6274509429932	33.8411598205566	18.5226516723633	1	0	0	0	4
"5"	1984	"HONDA"	"CIVIC"	60	99	47.5999984741211	"G"	1887	0	0	0	0	1	0	13.9985313415527	3.86283278465271	7.54274368286133	4.09434461593628	4.59511995315552	16.7636585235596	56.8929824829102	21.1151275634766	30.8825912475586	34.6598129272461	18.8140048980713	1	0	0	0	5
"6"	1985	"HONDA"	"CIVIC"	60	99	47.4000015258789	"G"	1887	0	0	0	0	0	0	14.3202123641968	3.85862231254578	7.54274368286133	4.09434461593628	4.59511995315552	16.7636585235596	56.8929824829102	21.1151275634766	30.8825912475586	34.6598129272461	18.8140048980713	1	0	0	0	0
"7"	1986	"HONDA"	"CIVIC"	60	99	46.5999984741211	"G"	1887	0	0	0	0	1	0	13.9985313415527	3.84160041809082	7.54274368286133	4.09434461593628	4.59511995315552	16.7636585235596	56.8929824829102	21.1151275634766	30.8825912475586	34.6598129272461	18.8140048980713	1	0	0	0	7
"8"	1987	"HONDA"	"CIVIC"	60	99	46.5999984741211	"G"	1887	0	0	0	0	1	0	13.9985313415527	3.84160041809082	7.54274368286133	4.09434461593628	4.59511995315552	16.7636585235596	56.8929824829102	21.1151275634766	30.8825912475586	34.6598129272461	18.8140048980713	1	0	0	0	8
"9"	1988	"HONDA"	"CIVIC"	70	112.900001525879	42.5	"G"	1933	0	0	0	0	1	0	12.6562538146973	3.74950408935547	7.56682825088501	4.24849510192871	4.72650241851807	18.049711227417	57.2568893432617	22.3398246765137	32.147632598877	35.7646331787109	20.0805225372314	1	0	0	0	9
"10"	1989	"HONDA"	"CIVIC"	70	112.900001525879	42.2000007629395	"G"	2039	0	0	0	0	1	0	13.190881729126	3.7424201965332	7.62021493911743	4.24849510192871	4.72650241851807	18.049711227417	58.0676765441895	22.3398246765137	32.3744468688965	36.0169639587402	20.0805225372314	1	0	0	0	10
"11"	1990	"HONDA"	"CIVIC"	70	111.199996948242	40.9000015258789	"G"	2127	0	0	0	0	1	0	13.6299829483032	3.71113014221191	7.66246795654297	4.24849510192871	4.71133041381836	18.049711227417	58.7134170532227	22.1966342926025	32.5539588928223	36.1004180908203	20.0160636901855	1	0	0	0	11
"12"	1991	"HONDA"	"CIVIC"	70	112.5	41	"G"	2127	0	0	0	0	1	0	13.6299829483032	3.71357202529907	7.66246795654297	4.24849510192871	4.72295331954956	18.049711227417	58.7134170532227	22.3062877655029	32.5539588928223	36.1894798278809	20.0654449462891	1	0	0	0	12
"13"	1992	"HONDA"	"CIVIC"	92	131.5	50	"G"	2275	0	0	0	0	1	0	11.618537902832	3.91202306747437	7.72973537445068	4.52178859710693	4.87900686264038	20.4465713500977	59.7488098144531	23.804708480835	34.9522285461426	37.7134323120117	22.0618381500244	1	0	0	0	13
"14"	1993	"HONDA"	"CIVIC"	102	132.899993896484	43.2999992370605	"G"	2264	0	0	0	0	1	0	10.6853942871094	3.76815271377563	7.72488832473755	4.62497282028198	4.88959693908691	21.3903732299805	59.673900604248	23.9081573486328	35.7273979187012	37.7715911865234	22.6142520904541	1	0	0	0	14
"15"	1994	"HONDA"	"CIVIC"	102	132.899993896484	42.7999992370605	"G"	2264	0	0	0	0	1	0	10.6853942871094	3.7565381526947	7.72488832473755	4.62497282028198	4.88959693908691	21.3903732299805	59.673900604248	23.9081573486328	35.7273979187012	37.7715911865234	22.6142520904541	1	0	0	0	15
"16"	1995	"HONDA"	"CIVIC"	102	132.899993896484	41.5999984741211	"G"	2264	0	0	0	0	1	0	10.6853942871094	3.72810006141663	7.72488832473755	4.62497282028198	4.88959693908691	21.3903732299805	59.673900604248	23.9081573486328	35.7273979187012	37.7715911865234	22.6142520904541	1	0	0	0	16
"17"	1996	"HONDA"	"CIVIC"	106	139.699996948242	41.2999992370605	"G"	2262	0	0	0	0	1	0	10.3644485473633	3.72086238861084	7.7240047454834	4.66343927383423	4.93949747085571	21.7476654052734	59.6602478027344	24.3986358642578	36.0204277038574	38.152702331543	23.0350456237793	1	0	0	0	17
"18"	1997	"HONDA"	"CIVIC"	106	140	47.7999992370605	"G"	2395	0	0	0	0	1	0	10.8336849212646	3.86702561378479	7.78113842010498	4.66343927383423	4.94164228439331	21.7476654052734	60.5461158752441	24.419828414917	36.286865234375	38.451602935791	23.0450477600098	1	0	0	0	18
